Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
489434,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,12,2009-12-01 07:45:00,6.95,13085.0,United Kingdom
489434,79323P,PINK CHERRY LIGHTS,12,2009-12-01 07:45:00,6.75,13085.0,United Kingdom
489436,21232,STRAWBERRY CERAMIC TRINKET BOX,24,2009-12-01 08:33:00,1.25,13078.0,United Kingdom
489436,22041,RECORD FRAME 7" SINGLE SIZE,48,2009-12-01 08:33:00,2.10,13078.0,United Kingdom
489464,21733,,1,2009-12-01 10:52:00,0.0,,United Kingdom
489465,85048,,6,2009-12-01 10:55:00,6.95,,EIRE
489521,21646,,1,2009-12-01 11:44:00,0.0,,United Kingdom
C489449,22087,PAPER BUNTING WHITE LACE,-12,2009-12-01 10:33:00,2.95,16321.0,Australia
489463,71477,short,1,2009-12-01 10:52:00,0.0,13293.0,United Kingdom
489535,21232,STRAWBERRY CERAMIC TRINKET BOX,12,2009-12-01 12:00:00,1.25,15299.0,United Kingdom
